Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
1;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;2990;195;2795
1;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;203;203
1;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;208;208
1;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;167;167
1;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;183;183
1;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;169;169
1;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;184;184
1;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;180;180
1;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;213;213
1;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;196;196
1;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;205;205
1;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;158;158
1;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;208;208
1;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;192;192
1;Grover_2num_5Q;ibm_brisbane;5;2;14;'01110;0;205;205
1;Grover_2num_5Q;ibm_brisbane;5;2;15;'01111;0;161;161
1;Grover_2num_5Q;ibm_brisbane;5;2;16;'10000;0;201;201
1;Grover_2num_5Q;ibm_brisbane;5;2;17;'10001;0;190;190
1;Grover_2num_5Q;ibm_brisbane;5;2;18;'10010;0;174;174
1;Grover_2num_5Q;ibm_brisbane;5;2;19;'10011;0;169;169
1;Grover_2num_5Q;ibm_brisbane;5;2;20;'10100;0;200;200
1;Grover_2num_5Q;ibm_brisbane;5;2;21;'10101;0;170;170
1;Grover_2num_5Q;ibm_brisbane;5;2;22;'10110;0;189;189
1;Grover_2num_5Q;ibm_brisbane;5;2;23;'10111;0;167;167
1;Grover_2num_5Q;ibm_brisbane;5;2;24;'11000;0;210;210
1;Grover_2num_5Q;ibm_brisbane;5;2;25;'11001;0;211;211
1;Grover_2num_5Q;ibm_brisbane;5;2;26;'11010;0;159;159
1;Grover_2num_5Q;ibm_brisbane;5;2;27;'11011;0;145;145
1;Grover_2num_5Q;ibm_brisbane;5;2;28;'11100;0;212;212
1;Grover_2num_5Q;ibm_brisbane;5;2;29;'11101;0;184;184
1;Grover_2num_5Q;ibm_brisbane;5;2;30;'11110;0;193;193
1;Grover_2num_5Q;ibm_brisbane;5;2;31;'11111;2990;179;2811
2;Grover_2num_5Q;ibm_brisbane;5;2;0;'00000;2990;209;2781
2;Grover_2num_5Q;ibm_brisbane;5;2;1;'00001;0;197;197
2;Grover_2num_5Q;ibm_brisbane;5;2;2;'00010;0;173;173
2;Grover_2num_5Q;ibm_brisbane;5;2;3;'00011;0;158;158
2;Grover_2num_5Q;ibm_brisbane;5;2;4;'00100;0;191;191
2;Grover_2num_5Q;ibm_brisbane;5;2;5;'00101;0;172;172
2;Grover_2num_5Q;ibm_brisbane;5;2;6;'00110;0;171;171
2;Grover_2num_5Q;ibm_brisbane;5;2;7;'00111;0;150;150
2;Grover_2num_5Q;ibm_brisbane;5;2;8;'01000;0;202;202
2;Grover_2num_5Q;ibm_brisbane;5;2;9;'01001;0;171;171
2;Grover_2num_5Q;ibm_brisbane;5;2;10;'01010;0;221;221
2;Grover_2num_5Q;ibm_brisbane;5;2;11;'01011;0;195;195
2;Grover_2num_5Q;ibm_brisbane;5;2;12;'01100;0;201;201
2;Grover_2num_5Q;ibm_brisbane;5;2;13;'01101;0;194;194
