Iteration;Problem;QPU;Qubits;Searched;T_transp;T_exec;T_res;IBM_whole_time;IBM_usage_time;G_orig;G_transp;depth_orig;depth_transp;Mean_err;Job id;Algorithm
1;Grover_2num_5Q;ibm_brisbane;5;2;0.3016;0.6039;9.4703;8.111048;7;19;5796;11;3342;0.937458;d3b4md7c8jls73cus1r0;Grover
2;Grover_2num_5Q;ibm_brisbane;5;2;0.275;0.5684;9.0613;7.425229;6;19;5795;11;3340;0.92893;d3b4mfulahfs738qcp30;Grover
3;Grover_2num_5Q;ibm_brisbane;5;2;0.2763;0.6159;8.9579;7.318563;6;19;5787;11;3331;0.929431;d3b4mielahfs738qcp70;Grover
4;Grover_2num_5Q;ibm_brisbane;5;2;0.3318;0.5945;9.0184;7.539681;6;19;5788;11;3333;0.933445;d3b4mkvc8jls73cus220;Grover
5;Grover_2num_5Q;ibm_brisbane;5;2;0.2688;0.5499;9.4118;7.847224;6;19;5788;11;3333;0.932609;d3b4mnfc8jls739a3ne0;Grover
6;Grover_2num_5Q;ibm_brisbane;5;2;0.2749;0.5567;9.5941;7.846035;6;19;5788;11;3333;0.935953;d3b4mq7c8jls739a3nh0;Grover
7;Grover_2num_5Q;ibm_brisbane;5;2;0.3164;0.9127;9.2852;7.838233;6;19;5795;11;3340;0.932441;d3b4msnc8jls739a3nl0;Grover
8;Grover_2num_5Q;ibm_brisbane;5;2;0.2843;0.6342;10.3287;7.931757;6;19;5795;11;3340;0.93612;d3b4mvc86mts73f89fc0;Grover
9;Grover_2num_5Q;ibm_brisbane;5;2;0.2829;1.807;12.779;8.478928;6;19;5796;11;3342;0.934114;d3b4n2c86mts73f89ff0;Grover
10;Grover_2num_5Q;ibm_brisbane;5;2;0.3173;0.545;8.7918;7.395881;6;19;5787;11;3331;0.933946;d3b4n6486mts73f89fl0;Grover
;;;;;;;;;;;;;;;;
;;;;;0.29293;0.73882;9.66985;7.7732579;6.1;19;5791.5;11;3336.5;0.9334447;;
